Program Name,Program Type
"University of California, Los Angeles - Venice Clinic",Advanced Education in General Dentistry (12 months)
University of Connecticut,Advanced Education in General Dentistry (12 months)
Howard University,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Miami, FL",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Foundry Dental Center, Bessemer, AL",Advanced Education in General Dentistry (12 months)
"University of Florida, University Partnership Center, Seminole",Advanced Education in General Dentistry (12 months)
Bay Pines Veterans Administration Medical Center,Advanced Education in General Dentistry (12 months)
Southern Illinois University School of Dental Medicine,Advanced Education in General Dentistry (12 months)
"Zablocki V.A. Great Lakes - Milwaukee, WI",Advanced Education in General Dentistry (12 months)
V.A. Western New York Healthcare System,Advanced Education in General Dentistry (12 months)
University of Maryland,Advanced Education in General Dentistry (12 months)
Olin E. Teague Veterans Center,Advanced Education in General Dentistry (12 months)
"University of Missouri-Kansas City, School of Dentistry",Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Puerto Rico,Advanced Education in General Dentistry (12 months)
Columbia University College of Dental Medicine (Residency),Advanced Education in General Dentistry (12 months)
University of Rochester Eastman Institute for Oral Health,Advanced Education in General Dentistry (12 months)
University at Buffalo School of Dental Medicine,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Baltimore, MD",Advanced Education in General Dentistry (12 months)
University of North Carolina at Chapel Hill Adams School of Dentistry,Advanced Education in General Dentistry (12 months)
Case Western Reserve University,Advanced Education in General Dentistry (12 months)
University of Cincinnati Medical Center,Advanced Education in General Dentistry (12 months)
University of Oklahoma College of Dentistry,Advanced Education in General Dentistry (12 month) - Optional 2nd Year
"NYU Langone Dental Medicine - Los Angeles, CA",Advanced Education in General Dentistry (12 months)
"Temple University, Kornberg School of Dentistry",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Jackson, MI",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Salud FHC - Denver, CO",Advanced Education in General Dentistry (12 months)
Texas A&M College of Dentistry,Advanced Education in General Dentistry (12 months)
University of Texas School of Dentistry at Houston,Advanced Education in General Dentistry (12 months)
University of Texas Health Science Center at San Antonio,Advanced Education in General Dentistry (12 month) - Optional 2nd Year
The University of New Mexico,Advanced Education in General Dentistry (12 months)
Virginia Commonwealth University,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - San Diego, CA",Advanced Education in General Dentistry (12 months)
Northwest Dental Residency,Advanced Education in General Dentistry (12 months)
University of Alabama at Birmingham,Advanced Education in General Dentistry (12 months)
"University of California, Los Angeles",Advanced Education in General Dentistry (12 months)
Dade County Dental Research Clinic (DBA) Florida Institute,Advanced Education in General Dentistry (12 month) - Optional 2nd Year
The University of Mississippi Medical Center,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Upstate, NY",Advanced Education in General Dentistry (12 months)
