Program Name,Program Type,url
"University of California, Los Angeles - Venice Clinic",Advanced Education in General Dentistry (12 months),https://dentistry.ucla.edu/academics-admissions/postgraduate-and-residency-training-programs/advanced-education-general-dentistry-venice
University of Connecticut,Advanced Education in General Dentistry (12 months),https://dentalmedicine.uconn.edu/divisions/general-dentistry/
Howard University,Advanced Education in General Dentistry (12 months),http://huhealthcare.com/education/colleges/dentistry/programs/postdoctoral-programs/advanced-education-in-general-dentistry
"NYU Langone Dental Medicine - Miami, FL",Advanced Education in General Dentistry (12 months),https://www.nyulangonedental.org/programs/aegd
"NYU Langone Dental Medicine - Foundry Dental Center, Bessemer, AL",Advanced Education in General Dentistry (12 months),https://programpages.passweb.org/view/1064
"University of Florida, University Partnership Center, Seminole",Advanced Education in General Dentistry (12 months),https://admissions.dental.ufl.edu/advanced-graduate-programs/advanced-education-in-general-dentistry/
Bay Pines Veterans Administration Medical Center,Advanced Education in General Dentistry (12 months),https://programpages.passweb.org/view/963
Southern Illinois University School of Dental Medicine,Advanced Education in General Dentistry (12 months),https://www.siue.edu/dental/post-graduate-programs/aegd/
"Zablocki V.A. Great Lakes - Milwaukee, WI",Advanced Education in General Dentistry (12 months),https://programpages.passweb.org/view/664
V.A. Western New York Healthcare System,Advanced Education in General Dentistry (12 months),https://programpages.passweb.org/view/987
University of Maryland,Advanced Education in General Dentistry (12 months),https://www.dental.umaryland.edu/admissions/programs/postgraduate-dental/aegd/
Olin E. Teague Veterans Center,Advanced Education in General Dentistry (12 months),https://programpages.passweb.org/view/872
"University of Missouri-Kansas City, School of Dentistry",Advanced Education in General Dentistry (12 months),https://dentistry.umkc.edu/academics/certificate-in-advanced-education-in-general-dentistry/
NYU Langone Dental Medicine - Puerto Rico,Advanced Education in General Dentistry (12 months),https://www.nyulangonedental.org/programs/aegd
Columbia University College of Dental Medicine (Residency),Advanced Education in General Dentistry (12 months),https://www.dental.columbia.edu/education/postdoctoral-and-residency-programs/advanced-education-general-dentistry-program-aegd
University of Rochester Eastman Institute for Oral Health,Advanced Education in General Dentistry (12 months),https://www.urmc.rochester.edu/dentistry/education/advanced-education-general-dentistry.aspx
University at Buffalo School of Dental Medicine,Advanced Education in General Dentistry (12 months),https://dental.buffalo.edu/education/advanced-education/aegd.html
"NYU Langone Dental Medicine - Baltimore, MD",Advanced Education in General Dentistry (12 months),https://www.nyulangonedental.org/programs/aegd
University of North Carolina at Chapel Hill Adams School of Dentistry,Advanced Education in General Dentistry (12 months),https://dentistry.unc.edu/advanced-dental-education/aegd/
Case Western Reserve University,Advanced Education in General Dentistry (12 months),https://case.edu/dental/departments-programs/advanced-education-general-dentistry-aegd
University of Cincinnati Medical Center,Advanced Education in General Dentistry (12 months),https://www.uchealth.com/education/dentistry-residency-program/
University of Oklahoma College of Dentistry,Advanced Education in General Dentistry (12 month) - Optional 2nd Year,https://dentistry.ouhsc.edu/Academic-Programs/Advanced-Education-in-General-Dentistry
"NYU Langone Dental Medicine - Los Angeles, CA",Advanced Education in General Dentistry (12 months),https://www.nyulangonedental.org/programs/aegd
"Temple University, Kornberg School of Dentistry",Advanced Education in General Dentistry (12 months),https://www.temple.edu/academics/degree-programs/advanced-education-general-dentistry-certificate-graduate-dn-aegd-dent
"NYU Langone Dental Medicine - Jackson, MI",Advanced Education in General Dentistry (12 months),https://www.nyulangonedental.org/programs/aegd
"NYU Langone Dental Medicine - Salud FHC - Denver, CO",Advanced Education in General Dentistry (12 months),https://programpages.passweb.org/view/733
